artist,nationality,gender,year_born,,undergraduate,graduate
Sandra Mujinga,Norwegian,,1989,,"	,Malmö Art Academy",None
Garrett Bradley,American,,1986,,"	Smith College",UCLA
Juul Kraijer,Dutch,male,1970,Netherlands,Academy of Fine Arts Vienna,None
Elke Krystufek,Austrian,male,1970,Austria,Academy of Fine Arts Vienna,None
Beatrix Zobl,Austrian,male,1970,Austria,Academy of Fine Arts Vienna,None
Jordan Casteel,American,,1989,,Agnes Scott College,Yale
Sondra Perry,American,,1986,,Alfred University,Columbia University
Dionne Lee,American,,1988,,Alfred University,California College of the Arts
Delphine Meriaux,French,,1988,France,Atelier de Sèvres,ENSCI
Carolyn Lazard,French,,1987,,Bard College,University of Pennsylvania
Adam Khalil,American,,1988,,Bard College,None
Martine Syms,American,,1988,,Bard College,School of the Art Institute of Chicago
Martha Tuttle,American,,1989,,Bard College,Yale
Zack Khalil,American,,1991,,Bard College,None
Yuan Ruizhe,Chinese,,1997,,Beijing University of Civil Engineering and Architecture,Harvard
Yael Bartana,Israeli,male,1970,N/A,Bezalel Academy of Arts and Design,School of Visual Arts
Haluk Akakçe,Turkish,male,1970,,Bilkent University,Royal College of Art in London
Richard Billingham,British,male,1970,Australia,Bournville College,University of Sunderland
Sharon Hayes,American,male,1970,,Bowdoin College,UCLA
Martin Wattenberg,American,male,1970,US,Brown University,Stanford University
Jenny Perlin,American,male,1970,US,Brown University,School of the Art Institute of Chicago
Petra Cortright,American,,1986,,California College of the Arts,Parsons School of Design
Sean Canty,American,,1987,,California College of the Arts,Harvard
Anne Collier,American,male,1970,US,California Institute of the Arts,UCLA
Lauren Halsey,American,,1987,,California Institute of the Arts,Yale
American Artist,American,,1989,,California Polytechnic University ,Parsons School of Design
Seb Patane,Italian,male,1970,US,Central St Martins College of Art & Design,Goldsmiths University
Fernando Laposse,Mexican,,1988,,Central St Martins College of Art & Design,None
Li Ming,Chinese,,1986,,China Academy of Art,None
Diamond Stingily,American,,1990,,Columbia College,None
Jie Qi,American,,1987,,Columbia University,MIT
Avery Singer,American,,1987,,Cooper Union,None
Meriem Bennani,Moroccan,,1988,,Cooper Union,the Ecole Nationale Supérieure des Arts Décoratifs
Shelley Eshkar,American,male,1970,,Cooper Union ,None
John Edmonds,American,,1989,,Corcoran School of the Arts and Design,Yale
Olivier van Herpt,Dutch,,1989,,Design Academy Eindhoven,None
Christophe Guberan,Swiss,,1985,,Ecole cantonale d'art de Lausanne ECAL,
Marguerite Humeau,French,,1986,,École des Arts Appliqués,Royal College of Art
Kader Attia,French,male,1970,,Ecole nationale superieure des arts decoratifs,None
Marepe,Brazilian,male,1970,US,Federal University of Bahia,Woodbury University
Carlos Amorales,Mexican,male,1970,Netherlands,Gerrit Rietveld Academy,Rijksakademie
James Auger,British,male,1970,UK,Glasgow School of Art,Royal College of Art 
Gabriel Kuri,Mexican,male,1970,Mexico,Goldsmiths College,Escuela Nacional de Artes Plásticas
Naomi Elliott,Irish,,1987,,Goldsmiths College,None
Zheng Guogu,Chinese,male,1970,N/A,Guangdong Academy of Art,None
Rob Swainston,American,male,1970,,Hampshire College,Columbia University
Diango Hernandez,Cuban,male,1970,N/A,Havana Superior Institute of Design,None
Silke Otto-Knapp,German,male,1970,,Hildesheim,Chelsea College of Art and Design
Norbert Bisky,German,male,1970,Germany,Hochschule der Künste,None
Frank Magnotta,American,male,1970,US,Hope College,University of Illinois
Harri Koskinen,Finnish,male,1970,Finland,Institute of Art and Design,None
Alexandre Arrechea,Cuban,male,1970,Cuba,Instituto Superior de Arte,None
Esterio Segura,Cuban,male,1970,Cuba,Instituto Superior de Arte,None
Leandro Feal,Cuban,,1986,Cuba,Instituto Superior de Arte,Instituto Superior de Arte
Zora J Murff,American,,1987,,Iowa State University,University of Nebraska–Lincoln
Anthony Nomorosa,,,1988,,James Madison University,None
Katja Strunz,German,male,1970,Germany,Johannes Gutenberg-University Mainz,State Academy of Fine Arts Karlsruhe
Julie Mehretu,American,male,1970,US,Kalamazoo College,Rhode Island School of Design
Bernhard Fuchs,Austrian,male,1971,,Kunstakademie Düsseldorf,Hochschule für Grafik und Buchkunst Leipzig
Louise Campbell,Danish,male,1970,Denmark,London College of Furniture,Royal Danish Academy of Fine Arts
Fernando Guerra,Portuguese,male,1970,,Lusíada University,None
Thomas Heatherwick,British,male,1970,UK,Manchester Polytechnic,Royal College of Art
Jacolby Satterwhite,American,,1986,,Maryland Institute College of Art,University of Pennsylvania
Elle Pérez,American,,1989,,Maryland Institute College of Art,Yale
Louis Fratino,American,,1993,,Maryland Institute College of Art,None
Genesis Baez,American,,1990,,Massachusetts College of Art & Design,Yale
Emily Jacir,American,male,1970,US,Memphis College of Art,None
Memed Erdener,Turkish,male,1970,Turkey,Mimar Sinan Fine Arts University,None
Jesse Louis-Rosenberg,American,,1986,,MIT,None
Alex Goad,Australian,,1989,,Monash University,None
Sanford Biggers,American,male,1970,,Morehouse College,School of the Art Institute of Chicago
Maurizio Ficcadenti,Italian,male,1970,N/A,N/A,N/A
Markus Nevalainen,Finnish,male,1970,N/A,N/A,N/A
Vesa Hinkola,Finnish,male,1970,N/A,N/A,N/A
Chris Dondorp,Dutch,male,1970,N/A,N/A,N/A
Kumi Machida,Japanese,male,1970,N/A,N/A,N/A
Hill Jephson Robb,Scottish,male,1970,England,N/A,The Royal College of Art
Paul Edmunds,South African,male,1970,South Africa,N/A,University of Natal
Phillip Pisciotta,American,male,1970,N/A,N/A,N/a
Marti Cormand,Spanish,male,1970,Spain,N/a,University of Barcelona
Teresa Moro,Spanish,male,1970,N/A,N/A,N/A
Ed Kilduff,American,male,1970,N/A,N/A,N/A
Richard Perez,South African,male,1970,N/A,N/A,N/A
Stacy Benjamin,American,male,1970,N/A,N/A,N/A
Rosa Brückl,Austrian,male,1970,N/A,N/A,N/A
Gregor Schmoll,Austrian,male,1970,N/A,N/A,N/A
Jeroen de Rijke,Dutch,male,1970,N/A,N/A,N/A
Jan Edler,German,male,1970,N/A,N/A,N/A
Chris Cunningham,British,male,1970,N/A,N/A,N/A
El Hadi Jazairy,Algerian,male,1970,,N/A,Cornell
